"field_name","source_id","source_category","url","published_at","retrieved_at","original_unit","target_unit","timezone","processing_method","conversion_formula","file_sha256","applicable_from","applicable_to","confidence","notes","is_primary","verification_status"
"air_temperature_2m_c","ERA5_SINGLE_LEVELS_2024","reanalysis","https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview","2018-06-14","2026-08-09","K","C","UTC","Select 2024 boundary-padded hourly grid cell and convert to local standard time","temperature_c=temperature_k-273.15","4afb5b72da442fbc48342bb21c247944c6018df46361dd4530d0f98d34f03bad","2024-01-01","2024-12-31","high","Reanalysis data; never describe as park measurement","true","verified"
"surface_solar_radiation_j_m2","ERA5_SINGLE_LEVELS_2024","reanalysis","https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview","2018-06-14","2026-08-09","J/m2 per hour","W/m2","UTC","Select hourly surface solar radiation downwards and convert accumulated energy to mean irradiance","irradiance_w_m2=energy_j_m2/3600","4afb5b72da442fbc48342bb21c247944c6018df46361dd4530d0f98d34f03bad","2024-01-01","2024-12-31","high","Use pvlib downstream; preserve raw UTC timestamp","true","verified"
"wind_u_100m_m_s","ERA5_SINGLE_LEVELS_2024","reanalysis","https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview","2018-06-14","2026-08-09","m/s","m/s","UTC","Select hourly 100 m eastward wind component at the study grid cell","identity","4afb5b72da442fbc48342bb21c247944c6018df46361dd4530d0f98d34f03bad","2024-01-01","2024-12-31","high","Component used with v100 to derive hub-height speed","true","verified"
"wind_v_100m_m_s","ERA5_SINGLE_LEVELS_2024","reanalysis","https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview","2018-06-14","2026-08-09","m/s","m/s","UTC","Select hourly 100 m northward wind component at the study grid cell","identity","4afb5b72da442fbc48342bb21c247944c6018df46361dd4530d0f98d34f03bad","2024-01-01","2024-12-31","high","Component used with u100 to derive hub-height speed","true","verified"
"monthly_solar_crosscheck_kwh_m2_day","NASA_POWER_HOURLY","cross_check","https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=ALLSKY_SFC_SW_DWN,T2M,WS50M&community=RE&longitude=109.78&latitude=39.61&start=20240101&end=20241231&format=JSON&time-standard=UTC","2024-12-31","2026-08-09","Wh/m2 hourly","kWh/m2/day","UTC","Aggregate the independent hourly series by day and month; do not splice into ERA5","monthly_mean=daily_sum(hourly_irradiance_wh_m2)/1000","563ac925b70de6351273356e690d6c35d41e0743f142185d2e06d4fe8ef6f92b","2024-01-01","2024-12-31","medium","Independent plausibility check only","false","verified"
"monthly_wind_crosscheck_m_s","NASA_POWER_HOURLY","cross_check","https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=ALLSKY_SFC_SW_DWN,T2M,WS50M&community=RE&longitude=109.78&latitude=39.61&start=20240101&end=20241231&format=JSON&time-standard=UTC","2024-12-31","2026-08-09","m/s","m/s","UTC","Aggregate independent hourly wind speed by month and compare with ERA5","monthly_mean=mean(hourly_wind_speed)","563ac925b70de6351273356e690d6c35d41e0743f142185d2e06d4fe8ef6f92b","2024-01-01","2024-12-31","medium","Cross-check only; available height must be documented","false","verified"
"wind_long_term_calibration_factor","GLOBAL_WIND_ATLAS","calibration","https://globalwindatlas.info/en/about/introduction","2023-11-21","2026-08-09","m/s","m/s","N/A","Compare ERA5 annual mean wind resource with atlas climatology and expose a sensitivity factor","calibration_factor=atlas_mean/era5_mean","a521b877f107f485ddf5d33e1f911d4fa0ed84e7f68f4d23a09c8e870ca99baa","2024-01-01","2024-12-31","medium","Long-term bias calibration; never splice atlas climatology into hourly chronology","true","verified"
"grid_tou_time_band","MENGXI_TOU_2021","policy","https://fgw.nmg.gov.cn/zfxxgk/fdzdgknr/bmwj/202111/t20211124_1960686.html","2021-11-24","2026-08-09","published local-hour band","local-hour band","Asia/Shanghai","Map local month and hour to peak flat or valley according to the published large-industry schedule","tou_band=f(month_local,hour_local)","5c2ca11beeb6fa27350f853e248c1f33293b2f6203ed8513486a592c7455fb9d","2021-12-01","9999-12-31","high","U4 must check for superseding tariff notice","true","verified"
"grid_tou_multiplier","MENGXI_TOU_2021","policy","https://fgw.nmg.gov.cn/zfxxgk/fdzdgknr/bmwj/202111/t20211124_1960686.html","2021-11-24","2026-08-09","ratio","ratio","Asia/Shanghai","Apply the large-industry seasonal peak-flat-valley multiplier and summer uplift","hourly_energy_price=base_energy_price*tou_multiplier","5c2ca11beeb6fa27350f853e248c1f33293b2f6203ed8513486a592c7455fb9d","2021-12-01","9999-12-31","high","Published ratios are policy inputs; base energy price is configured separately","true","verified"
"grid_transmission_price_cny_per_kwh","NDRC_TRANSMISSION_4TH_2026","policy","https://www.ndrc.gov.cn/xxgk/zcfb/tz/202607/t20260710_1406431.html","2026-07-10","2026-08-09","CNY/kWh","CNY/kWh","Asia/Shanghai","Select the Inner Mongolia West row and configured voltage level from the fourth regulatory-cycle table","identity","2371e70dd9ea04723a9e42650f460b1519b0972953e890386f8d79211bd3e9dd","2026-08-01","2029-12-31","high","Voltage level must be explicit in U4 configuration","true","verified"
